gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
9563,1,3,3/31/1964,3/27/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SEARS ROEBUCK & CO,S.1,812387108,319256,5311,452111
5306,1,3,11/1/1991,7/4/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GREAT LAKES CHEMICAL CORP,GLK.1,390568103,43362,2890,325998
29356,1,3,4/3/2000,7/4/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VERITAS SOFTWARE CORP,VRTS.1,923436109,1084408,7372,511210
10639,1,3,9/30/1983,7/21/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TOYS R US INC,1231B,892335100,1005414,5945,451120
11038,1,3,3/31/1964,8/10/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNOCAL CORP,UCL,915289102,716039,1311,211111
12144,1,3,7/22/2002,8/11/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SUNGARD DATA SYSTEMS INC,0139A,867363103,789388,7372,511210
24870,1,3,4/1/1998,8/14/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEXTEL COMMUNICATIONS INC,NXTL,65332V103,824169,4812,517212
3851,1,3,3/31/1968,8/18/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DELTA AIR LINES INC,DAL,247361108,27904,4512,481111
7127,1,3,3/31/1964,8/28/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MAY DEPARTMENT STORES CO,MAY.2,577778103,63416,5311,452111
5169,1,3,3/31/1964,10/2/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GILLETTE CO,G.1,375766102,41499,3420,332211
2731,1,3,6/11/1997,10/2/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PROVIDIAN FINANCIAL CORP,PVN,74406A102,1035713,6020,522110
118122,1,3,5/28/1999,10/10/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DELPHI AUTOMOTIVE PLC,DLPH,247126105,1521332,3714,336320
1581,1,3,3/31/1964,11/20/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AT&T CORP,T.2,1957505,5907,4813,517110
63605,1,3,12/1/2000,12/1/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CALPINE CORP,CPN,131347106,916457,4991,22111
5134,1,3,3/31/1964,12/19/2005,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GEORGIA-PACIFIC CORP,GP.1,373298108,41077,2600,322121
23592,1,3,4/1/1992,1/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MBNA CORP,KRB,55262L100,870517,6020,522110
136648,1,3,6/29/2000,1/2/2006,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VISTEON CORP,VC,92839U107,1111335,3714,336320
